County,State,Total defense spending in (billions)
KENOSHA,WISCONSIN,$0.19B
LAUREL,KENTUCKY,$0.19B
NO COUNTY LISTED,PUERTO RICO,$0.19B
ACCOMACK,VIRGINIA,$0.19B
TIPPECANOE,INDIANA,$0.19B
NO COUNTY LISTED,NEVADA,$0.19B
IREDELL,NORTH CAROLINA,$0.19B
MIAMI,INDIANA,$0.19B
COFFEE,ALABAMA,$0.19B
NO COUNTY LISTED,WYOMING,$0.19B
SARATOGA,NEW YORK,$0.19B
MCKINLEY,NEW MEXICO,$0.19B
NO COUNTY LISTED,MAINE,$0.19B
KENDALL,TEXAS,$0.18B
FORREST,MISSISSIPPI,$0.18B
ROCKLAND,NEW YORK,$0.18B
WOOD,OHIO,$0.18B
SHELBY,ALABAMA,$0.18B
NO COUNTY LISTED,IOWA,$0.18B
CHEROKEE,GEORGIA,$0.18B
BOX ELDER,UTAH,$0.18B
JEFFERSON,ARKANSAS,$0.18B
FAYETTE,GEORGIA,$0.18B
STUTSMAN,NORTH DAKOTA,$0.18B
HALL,GEORGIA,$0.18B
SAN BENITO,CALIFORNIA,$0.17B
SAN LUIS OBISPO,CALIFORNIA,$0.17B
LAWRENCE,INDIANA,$0.17B
SPARTANBURG,SOUTH CAROLINA,$0.17B
NORTH SLOPE,ALASKA,$0.17B
PEACH,GEORGIA,$0.17B
CAROLINE,VIRGINIA,$0.17B
NO COUNTY LISTED,NORTH DAKOTA,$0.17B
BUNCOMBE,NORTH CAROLINA,$0.17B
CAMERON,TEXAS,$0.16B
LEE,ALABAMA,$0.16B
RUSSELL,KENTUCKY,$0.16B
ATLANTIC,NEW JERSEY,$0.16B
JOHNSTON,NORTH CAROLINA,$0.16B
JASPER,INDIANA,$0.16B
NO COUNTY LISTED,DELAWARE,$0.16B
VERMILION,ILLINOIS,$0.16B
WHATCOM,WASHINGTON,$0.16B
DENT,MISSOURI,$0.16B
ELKHART,INDIANA,$0.16B
WESTMORELAND,PENNSYLVANIA,$0.16B
FRESNO,CALIFORNIA,$0.16B
OKTIBBEHA,MISSISSIPPI,$0.16B
LAFAYETTE,MISSOURI,$0.16B
YAKIMA,WASHINGTON,$0.16B
SANTA FE,NEW MEXICO,$0.15B
NO COUNTY LISTED,SOUTH DAKOTA,$0.15B
LYCOMING,PENNSYLVANIA,$0.15B
PLACER,CALIFORNIA,$0.15B
ROGERS,OKLAHOMA,$0.15B
ROANOKE CITY,VIRGINIA,$0.15B
ORANGE,NORTH CAROLINA,$0.15B
PRINCE GEORGE'S,MARYLAND,$0.15B
LANCASTER,VIRGINIA,$0.15B
HARRISONBURG CITY,VIRGINIA,$0.15B
SEQUOYAH,OKLAHOMA,$0.15B
OUTAGAMIE,WISCONSIN,$0.15B
WASHINGTON,RHODE ISLAND,$0.15B
MARIN,CALIFORNIA,$0.15B
HAWAII,HAWAII,$0.15B
PENNINGTON,SOUTH DAKOTA,$0.15B
POLK,GEORGIA,$0.15B
LANE,OREGON,$0.15B
WHITMAN,WASHINGTON,$0.14B
LAUDERDALE,MISSISSIPPI,$0.14B
PITTSBURG,OKLAHOMA,$0.14B
ST JOHN THE BAPTIST,LOUISIANA,$0.14B
BOYLE,KENTUCKY,$0.14B
SUMNER,TENNESSEE,$0.14B
FORSYTH,GEORGIA,$0.14B
MIDDLESEX,CONNECTICUT,$0.14B
NO COUNTY LISTED,MISSOURI,$0.14B
KALAMAZOO,MICHIGAN,$0.14B
RAPIDES,LOUISIANA,$0.14B
LIMESTONE,ALABAMA,$0.14B
FALLS CHURCH CITY,VIRGINIA,$0.14B
TOMPKINS,NEW YORK,$0.14B
PAYNE,OKLAHOMA,$0.14B
BAYAMON,PUERTO RICO,$0.14B
COMAL,TEXAS,$0.14B
BOONE,KENTUCKY,$0.14B
IBERIA,LOUISIANA,$0.14B
CALVERT,MARYLAND,$0.14B
UNION,NORTH CAROLINA,$0.14B
MORGAN,ALABAMA,$0.14B
GUADALUPE,TEXAS,$0.13B
LEBANON,PENNSYLVANIA,$0.13B
WAYNE,KENTUCKY,$0.13B
SHAWNEE,KANSAS,$0.13B
JEFFERSON,WEST VIRGINIA,$0.13B
SUMMIT,UTAH,$0.13B
CECIL,MARYLAND,$0.13B
MAYAGUEZ,PUERTO RICO,$0.13B
SOCORRO,NEW MEXICO,$0.13B
HIDALGO,TEXAS,$0.13B
DOUGLAS,WASHINGTON,$0.13B
OCONEE,GEORGIA,$0.13B
JEFFERSON,MISSOURI,$0.13B
PULASKI,ILLINOIS,$0.12B
JOHNSON,INDIANA,$0.12B
PICKENS,SOUTH CAROLINA,$0.12B
SUSSEX,VIRGINIA,$0.12B
VIEQUES,PUERTO RICO,$0.12B
LAKE,INDIANA,$0.12B
BIBB,GEORGIA,$0.12B
NASH,NORTH CAROLINA,$0.12B
HOUGHTON,MICHIGAN,$0.12B
WALLA WALLA,WASHINGTON,$0.12B
WASHINGTON,MAINE,$0.12B
OTTAWA,MICHIGAN,$0.12B
KANE,ILLINOIS,$0.12B
MUSCATINE,IOWA,$0.12B
BROOMFIELD,COLORADO,$0.12B
DEKALB,TENNESSEE,$0.12B
NO COUNTY LISTED,NEW HAMPSHIRE,$0.12B
BUCHANAN,MISSOURI,$0.12B
BLOUNT,TENNESSEE,$0.12B
SULLIVAN,NEW HAMPSHIRE,$0.12B
MONROE,INDIANA,$0.11B
BUTTE,CALIFORNIA,$0.11B
CHAMBERS,TEXAS,$0.11B
PEMBINA,NORTH DAKOTA,$0.11B
LASSEN,CALIFORNIA,$0.11B
WILSON,NORTH CAROLINA,$0.11B
CLARK,OHIO,$0.11B
